"newspaper_edition_date","headline"
NA,"Pregnant people urged to get vaccinated amid abysmal US inoculation rates"
2021-10-26,"Liverpool headteachers describe ‘sinister’ tactics of anti-vaxx protesters"
2021-12-08,"The history of Covid vaccine development"
2021-12-04,"Do Covid vaccine mandates work?"
2021-08-24,"Anti-vaxx athletes’ stance shows myths cut across boundaries of privilege"
2021-11-01,"‘Vax’ chosen as word of the year by Oxford English Dictionary firm"
2021-11-20,"Austria plans compulsory Covid vaccination for all"
2021-11-23,"Zahawi rejects exclusion zones to keep Covid anti-vaxxers away from schools"
2021-12-02,"Covid vaccine boosters in England: what has changed?"
2021-12-12,"As Covid mutates, the vaccine makers are adapting too"
2021-03-23,"Covid vaccines made by end of 2021 could inoculate 70% of the world"
2021-11-10," AstraZeneca to create dedicated Covid vaccines unit "
2021-12-06,"Covid: figures reveal vaccine lottery for children in England"
2021-12-02,"Teesside factory making Covid vaccine gets £400m injection"
2021-11-10,"At a glance: Covid vaccine mandates around the world "
2021-05-09,"Vaccines will not inoculate investors against the danger of an ‘epic bubble’"
2021-02-27,"Vaccine envy, inoculation etiquette and judging the unjustly jabbed"
NA,"Xi Jinping calls for mutual Covid vaccine approvals"
NA,"Covid vaccine map: how are countries around the world doing?"
2021-12-02,"Prince Harry compares Covid vaccine inequity to HIV struggle"
2021-02-02,"Germany considering Russian and Chinese vaccines to boost Covid inoculation drive"
2021-11-27,"The Sicilian town where the Covid vaccination rate hit 104%"
NA,"Nigeria unlikely to reach ‘impossible’ 40% Covid vaccine target"
2021-11-20,"Majority of public in Europe support Covid vaccine passports – survey"
2021-12-04,"Italian man tries to dodge Covid vaccine wearing fake arm"
NA,"Vaccine certificates-for-sale scam undermines Lesotho’s Covid effort "
2021-11-23,"UK employers step up demand for workers vaccinated against Covid"
NA,"Tesco ad featuring Santa with Covid vaccine passport cleared by watchdog"
NA,"Pfizer Covid vaccine approval for children imminent as NSW hits 90% vaccination rate – as it happened"
2021-11-15,"‘Detox’ routines won’t undo Covid vaccine, experts tell anti-vaxxers"
NA,"Florida lawmakers’ special session aims to thwart Covid vaccine mandates"
NA,"Australia to lift quarantine upon entry for Covid vaccinated Singaporeans"
NA,"Seven doctors contract Covid after attending Florida anti-vaccine summit"
NA,"Biden criticizes Trump’s Covid vaccine rollout as Harris gets inoculation"
2021-11-25,"Novavax expected to be become fourth Covid vaccine available in UK"
NA,"Gordon Brown urges emergency Covid vaccine airlift to Africa"
NA,"News Corp Australia to introduce Covid vaccine mandate for staff "
2021-10-25,"Ministers to ramp up Covid vaccine rollout as hospitalisations rise"
2021-12-02,"UK ministers secure 114m more Covid vaccines for next two years"
2021-11-08,"‘Get the vaccine’: family of Covid victim’s plea to pregnant women"
NA,"Aboriginal Covid cases climb as Australian vaccination ‘surge’ falls short"
NA,"NSW Covid update: freedoms for fully vaccinated residents brought forward"
NA,"Liam Jones announces AFL retirement after reportedly refusing Covid vaccine"
NA,"Senator booed for asking Republicans to consider Covid vaccine"
NA,"Religious exemptions threaten to undermine US Covid vaccine mandates"
NA,"NHS ready to extend Covid vaccines to children as young as 5"
2021-10-27,"Why pregnant women need clearer messaging on Covid vaccine safety"
2021-11-24,"AstraZeneca CEO links Europe’s Covid surge to rejection of its vaccine "
2021-08-05,"Which countries are vaccinating minors against Covid?"
NA,"Scotland proposes Covid vaccine certificates for nightclub entry"
2021-09-15,"How will the UK’s Covid booster vaccination campaign work?"
2021-09-29,"Schools in England unwittingly distribute Covid vaccination hoax message"
2021-11-29,"Nursing unions around world call for UN action on Covid vaccine patents"
2021-11-08,"Ted Cruz condemns Big Bird for advocating Covid vaccines for kids"
NA,"Republican backlash against Biden’s Covid vaccine mandate grows"
NA,"Nearly all Fox staffers vaccinated for Covid even as hosts cast doubt on vaccine"
2021-09-09,"UK decision on Covid vaccine boosters expected on Thursday"
2021-11-27,"BioNTech says it could tweak Covid vaccine in 100 days if needed"
2021-10-31,"Germany fears fourth Covid wave as vaccination rates remain low"
NA,"Florida health department fines county $3.5m for requiring Covid vaccine"
2021-10-29," Russia resorts to Covid restrictions as vaccine hesitancy drives record deaths"
NA,"Tell us: is your family divided over attitudes to the Covid-19 vaccine?"
2021-11-21,"Unusual bedfellows: how gangs are pushing New Zealand’s Covid vaccination drive"
NA,"Victoria Covid update: Melbourne teenager shares how ‘Covid almost killed me’ amid new vaccine push"
NA,"US to allow Americans to ‘mix and match’ boosters of Covid vaccine"
NA,"Vaccinating teenagers against Covid is priority, says UK epidemiologist"
NA,"Guam’s vaccination success story turns grim with Covid surge"
NA,"Flu, cancer, HIV: after Covid success, what next for mRNA vaccines?"
2021-09-14,"UK cancels Covid vaccine deal with French firm Valneva"
2021-12-11,"Arrival of 1bn vaccine doses won’t solve Africa’s Covid crisis, experts say"
NA,"Parkrun Australia cancels Victoria events indefinitely due to Covid vaccine mandates"
2021-10-07,"Covid ‘still running rampant’ worldwide, warns creator of Oxford vaccine"
2021-11-16,"Tesco Christmas ad: 1,500 complain over Santa with Covid vaccine passport"
NA,"Pfizer raises Covid-19 vaccine sales forecast to $36bn for 2021"
2021-10-21,"Only 14% of promised Covid vaccine doses reach poorest nations"
NA,"Instagram displays ad offering fake Covid vaccine certificates in Australia"
2021-10-20,"Premier League reveals 68% of players are fully vaccinated against Covid"
NA,"Australian government ‘trying to have it both ways’ on Covid vaccine IP waiver"
2021-08-12,"Covid-19 vaccines: the contracts, prices and profits"
2021-10-13,"Canberra set to become the most Covid vaccinated city in the world"
NA,"‘Pregnancy is a scary time’: four women on getting the Covid vaccine"
NA,"NHS England staff should have Covid vaccine before winter, Hancock says"
NA,"Covid world map: which countries have the most coronavirus vaccinations, cases and deaths?"
2021-11-12,"Morgues fill up in Romania and Bulgaria amid low Covid vaccine uptake"
NA,"Michigan nurse charged with stealing and selling Covid vaccination cards"
2021-09-20,"Scottish Covid vaccine trialists ‘treated like second-class citizens’"
NA,"See Australia’s state and territory Covid vaccination rollouts animated over time"
NA,"Scottish Covid vaccine passport app hit by problems after launch"
2021-11-27,"A new Covid variant is no surprise when rich countries are hoarding vaccines"
2021-10-14,"Malfunctioning NHS app for Covid vaccine status causes travel delays"
2021-09-29,"Scotland delays Covid vaccine passports after backlash from nightclubs"
NA,"Australia’s vaccine certificate system can’t recognise people with mixed Covid jabs as fully vaccinated"
NA,"US Covid cases surge as vaccine progress slows and Omicron variant sparks fears"
NA,"‘No jab, no job’: care home workers in England on the Covid vaccine mandate"
2021-11-27,"Failure to share Covid vaccines ‘coming back to haunt us’, says Gordon Brown"
2021-08-14,"What are the UK’s plans for Covid booster vaccines?"
NA,"Liberal senator Gerard Rennick’s vaccine claims condemned by health officials in Covid inquiry"
NA,"Co-founder of Christian TV network that railed against vaccines dies of Covid-19"
NA,"Covid live: Italy bans unvaccinated from numerous venues and extends compulsory vaccination"
NA,"Virginia governor reveals his long Covid symptoms as he urges vaccinations"
2021-10-06,"England urged to step up vaccinations to avoid winter Covid surge"
2021-12-06,"Omicron is a ‘wake-up call’ to vaccinate poorer nations, experts say"
NA,"Homegrown Covid vaccines fill gap as UN Covax scheme misses target"
NA,"Trump booed after telling supporters to get Covid vaccine "
NA,"Western Australia nurse who allegedly faked giving Covid vaccine to teenager charged"
NA,"Tell us: have you received the Covid-19 booster vaccine while housebound?"
NA,"Australian business groups lament ‘nightmare’ of states’ differing Covid vaccine mandates"
